time_key,full_time,hour,minute,second,hour_12,am_pm,quarter_hour,shift_id,peak_type,is_peak_hour,is_business_hour,is_order_cutoff
12300,01:23:00,1,23,0,1,AM,15,non_business,,false,false,false
12400,01:24:00,1,24,0,1,AM,15,non_business,,false,false,false
12500,01:25:00,1,25,0,1,AM,15,non_business,,false,false,false
12600,01:26:00,1,26,0,1,AM,15,non_business,,false,false,false
12700,01:27:00,1,27,0,1,AM,15,non_business,,false,false,false
12800,01:28:00,1,28,0,1,AM,15,non_business,,false,false,false
12900,01:29:00,1,29,0,1,AM,15,non_business,,false,false,false
13000,01:30:00,1,30,0,1,AM,30,non_business,,false,false,false
13100,01:31:00,1,31,0,1,AM,30,non_business,,false,false,false
13200,01:32:00,1,32,0,1,AM,30,non_business,,false,false,false
13300,01:33:00,1,33,0,1,AM,30,non_business,,false,false,false
13400,01:34:00,1,34,0,1,AM,30,non_business,,false,false,false
13500,01:35:00,1,35,0,1,AM,30,non_business,,false,false,false
13600,01:36:00,1,36,0,1,AM,30,non_business,,false,false,false
13700,01:37:00,1,37,0,1,AM,30,non_business,,false,false,false
13800,01:38:00,1,38,0,1,AM,30,non_business,,false,false,false
13900,01:39:00,1,39,0,1,AM,30,non_business,,false,false,false
